cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3224342,3246760,1250.7,614.9,2312.1,1290.3,629.8,2220.3,1231.3,582.2,2174.3,-1,184,-0.23671,1.32371,2.05399,2.45502
3212884,3234995,1374.1,421.1,2361.8,1401.1,431.2,2288.1,1351.2,355.7,2254.0,-1,184,-0.8544,-1.02062,-2.35076,2.70143
3214101,3236133,1330.5,418.9,2718.8,1341.6,423.7,2760.0,1324.5,404.4,2766.4,-1,184,0.38083,-2.27898,2.26817,3.23781
3212996,3235132,1347.8,401.9,2450.9,1354.4,404.2,2414.5,1305.1,336.1,2397.8,2,184,-1.62473,-2.59125,-1.0281,3.22665
3214013,3236113,1375.7,418.0,2617.6,1379.5,419.8,2648.8,1349.6,379.4,2653.3,2,184,-1.55911,-1.87146,-0.92501,2.60554
3227859,3250226,1368.8,454.0,2815.7,1380.6,459.0,2842.7,1373.3,449.3,2845.1,-1,184,1.37886,-2.32925,3.68654,4.57354
3213938,3235808,1232.9,456.2,2592.7,1234.9,457.3,2622.3,1202.5,426.1,2625.0,-1,184,-1.39946,-0.97892,-0.1345,1.71315
3214057,3236069,1183.1,467.6,2542.8,1183.0,467.7,2550.3,1145.0,434.6,2549.7,-1,184,-0.41089,-1.96623,0.11466,2.01197
3214056,3236068,1185.1,454.5,2538.3,1185.0,454.5,2543.8,1147.4,421.3,2542.3,-1,184,-0.30883,-1.59736,-0.31039,1.65629
3213958,3235825,1220.4,444.5,2617.7,1224.2,446.4,2654.9,1198.3,422.6,2656.5,-1,184,-1.09742,-1.6187,2.16218,2.9154
3214420,3236573,1231.4,453.4,2683.4,1239.5,457.0,2725.0,1224.0,445.5,2726.4,-1,184,0.66994,-2.40394,3.13019,4.00323
3213682,3235705,1191.2,476.6,2500.9,1192.0,476.8,2489.2,1142.9,433.2,2483.5,-1,184,-1.47757,-0.16474,-1.03834,1.81342
3213951,3236067,1190.1,471.7,2552.4,1190.2,471.9,2564.2,1152.6,439.6,2564.2,-1,184,-0.49763,-1.9013,0.03814,1.96571
3214421,3236159,1260.3,451.0,2652.5,1266.3,453.7,2690.5,1244.8,434.0,2694.9,-1,184,-1.0568,-1.47122,0.75574,1.96277
3214598,3236216,1253.3,456.5,2722.9,1264.5,461.4,2767.0,1253.7,453.7,2770.5,-1,184,0.28938,-1.94128,1.65234,2.56565
3214055,3236158,1247.5,451.5,2686.8,1255.9,455.2,2728.1,1239.7,442.6,2730.6,-1,184,0.04818,-1.87002,2.19373,2.88301
3213936,3235806,1228.8,447.7,2564.5,1229.2,448.0,2581.3,1191.5,410.0,2579.5,-1,184,-1.25508,-1.25185,0.10662,1.77587
3213937,3235807,1232.2,472.0,2565.3,1232.6,472.4,2582.4,1193.7,436.4,2583.5,-1,184,-1.22884,-1.02203,-1.09094,1.93513
3214481,3236621,1222.6,489.5,2480.5,1225.0,490.2,2459.1,1167.7,438.7,2450.4,-1,184,-0.94887,0.24941,-1.23843,1.57996
3213945,3236059,1225.1,466.9,2550.6,1225.1,467.0,2561.1,1182.6,427.1,2560.1,-1,184,-1.93925,-1.16586,-1.73777,2.85303
3214542,3236173,1175.4,483.8,2630.6,1180.1,486.0,2670.0,1161.8,471.6,2671.7,4,184,-0.30342,-0.6951,0.09905,0.76488
3214480,3236620,1208.9,494.1,2496.2,1210.1,494.4,2482.1,1155.8,447.9,2476.7,2,184,-1.07222,-0.18987,-1.51958,1.86944
3231611,3253821,1178.4,472.0,2697.3,1187.5,476.0,2741.8,1178.8,470.8,2741.4,-1,184,-0.02746,-1.57222,1.79673,2.38765
3213685,3235771,1194.2,497.3,2496.8,1195.3,497.6,2483.1,1142.5,454.3,2476.7,1,184,-0.76763,-0.1077,-1.82313,1.98108
3227583,3249922,1204.9,481.8,2755.5,1218.8,487.8,2803.8,1216.2,487.8,2802.2,-1,184,0.43248,-2.00713,2.6973,3.38984
